Race,Category,Name,Bib,Chip,Start Time,End Time,Lap,Lap time
CXR 4 - Frontier Park,Cat. 4 Men,LUKE BOLT,117,5291,2017-10-29 09:25:45.500000,2017-10-29 10:04:41.790000,1,0:12:34.510000
CXR 4 - Frontier Park,Cat. 4 Men,LUKE BOLT,117,5291,2017-10-29 09:25:45.500000,2017-10-29 10:04:41.790000,2,0:12:54.760000
CXR 4 - Frontier Park,Cat. 4 Men,LUKE BOLT,117,5291,2017-10-29 09:25:45.500000,2017-10-29 10:04:41.790000,3,0:13:27.020000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,DAMIEN DABROWSKI,415,8165,2017-10-29 09:25:46,2017-10-29 09:58:36.530000,1,0:11:01.020000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,DAMIEN DABROWSKI,415,8165,2017-10-29 09:25:46,2017-10-29 09:58:36.530000,2,0:11:01
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,DAMIEN DABROWSKI,415,8165,2017-10-29 09:25:46,2017-10-29 09:58:36.530000,3,0:10:48.510000
CXR 4 - Frontier Park,Cat. 4 Men,XANDER FISS,193,13975,2017-10-29 09:25:49.750000,2017-10-29 10:02:30.290000,1,0:11:57.320000
CXR 4 - Frontier Park,Cat. 4 Men,XANDER FISS,193,13975,2017-10-29 09:25:49.750000,2017-10-29 10:02:30.290000,2,0:12:18.710000
CXR 4 - Frontier Park,Cat. 4 Men,XANDER FISS,193,13975,2017-10-29 09:25:49.750000,2017-10-29 10:02:30.290000,3,0:12:24.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GEORGE MOUNT,517,8450,2017-10-29 09:25:53.500000,2017-10-29 09:59:37.790000,1,0:11:09.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GEORGE MOUNT,517,8450,2017-10-29 09:25:53.500000,2017-10-29 09:59:37.790000,2,0:11:09.260000
